tim,utakmice,pobede,remiji,porazi,bodovi,dati_golovi,primljeni_golovi,gol_razlika,sutevi,sutevi_u_okvir,korneri,fauli,zuti_kartoni,crveni_kartoni,sezona,vrednost
Chelsea,33,25,7,1,82,62,12,50,479,273,224,415,44,0,2004/05,331.48
Arsenal,33,21,8,4,71,73,33,40,418,266,192,386,44,1,2004/05,247.00
Man United,33,19,10,4,67,48,20,28,523,281,256,414,41,5,2004/05,293.23
Everton,33,17,6,10,57,40,33,7,335,161,163,431,46,4,2004/05,74.53
Liverpool,34,16,6,12,54,48,35,13,443,215,199,396,35,2,2004/05,222.13
Bolton,34,15,8,11,53,44,38,6,426,229,180,475,47,1,2004/05,63.58
Tottenham,34,13,9,12,48,42,38,4,412,225,171,396,46,1,2004/05,129.45
Aston Villa,34,12,10,12,46,41,42,-1,352,182,194,522,53,2,2004/05,84.13
Middlesbrough,33,12,10,11,46,46,44,2,409,234,181,404,42,2,2004/05,95.48
Charlton,34,12,9,13,45,40,50,-10,284,155,153,418,35,2,2004/05,58.10
Man City,34,11,11,12,44,42,37,5,360,193,213,418,41,3,2004/05,94.30
Blackburn,33,9,12,12,39,29,37,-8,380,183,187,517,64,4,2004/05,73.70
Birmingham,34,9,11,14,38,35,42,-7,309,156,170,475,52,2,2004/05,106.93
Newcastle,32,9,11,12,38,42,51,-9,426,225,210,410,50,4,2004/05,125.90
Fulham,33,9,8,16,35,39,53,-14,302,155,163,415,52,5,2004/05,65.23
Portsmouth,34,9,8,17,35,38,53,-15,338,174,163,410,50,2,2004/05,66.50
West Brom,33,5,14,14,29,32,53,-21,299,163,164,438,37,5,2004/05,50.40
Chelsea,38,29,4,5,91,72,22,50,514,277,224,434,63,5,2005/06,363.43
Man United,38,25,8,5,83,72,34,38,555,286,221,486,60,2,2005/06,254.58
Liverpool,38,25,7,6,82,57,25,32,563,283,234,438,50,5,2005/06,216.35
Arsenal,38,20,7,11,67,68,31,37,462,274,211,479,55,2,2005/06,232.33
Tottenham,38,18,11,9,65,53,38,15,411,234,210,466,52,5,2005/06,154.33
Blackburn,38,19,6,13,63,51,42,9,384,183,230,568,76,6,2005/06,63.85
Newcastle,38,17,7,14,58,47,42,5,370,208,190,600,66,7,2005/06,150.48
Bolton,38,15,11,12,56,49,41,8,402,198,198,505,64,3,2005/06,61.85
West Ham,38,16,7,15,55,52,55,-3,354,173,206,497,50,2,2005/06,62.55
