tim,utakmice,pobede,remiji,porazi,bodovi,dati_golovi,primljeni_golovi,gol_razlika,sutevi,sutevi_u_okvir,korneri,fauli,zuti_kartoni,crveni_kartoni,sezona,vrednost,koeficijent
Norwich,38,23.13,8.26,6.61,77.65,65.26,32.22,33.04,458.48,263.52,221.39,549.35,52.04,2.48,2003/04,31.05,1
West Brom,38,20.65,9.09,8.26,71.04,52.87,34.7,18.17,404.78,219.74,225.52,466.74,46.26,3.3,2003/04,50.40,1.15
Crystal Palace,38,17.35,8.26,12.39,60.3,59.48,50.39,9.09,393.22,223.87,232.13,460.96,65.26,5.78,2003/04,38.53,1.5
Wigan,38,21.88,10.36,5.76,76.0,71.39,29.94,41.45,534.3,302.85,234.91,477.88,33.39,0.0,2004/05,51.92,1
West Ham,38,19.54,8.69,9.77,67.31,60.8,44.51,16.29,393.03,213.89,271.43,454.91,52.11,3.26,2004/05,62.55,1.3
Sunderland,38,19.58,8.06,10.36,66.79,57.58,36.85,20.73,458.3,253.33,257.94,520.48,63.33,2.3,2004/05,34.35,1.3
Reading,38,25.61,10.74,1.65,87.57,81.78,26.43,55.35,408.91,223.87,237.09,416.35,31.39,0.0,2005/06,32.88,0.7
Sheffield United,38,21.48,9.91,6.61,74.35,62.78,38.0,24.78,417.17,212.3,239.57,471.7,52.04,1.65,2005/06,43.36,1
Watford,38,18.17,12.39,7.43,66.91,63.61,43.78,19.83,456.0,249.48,243.7,557.61,48.74,4.96,2005/06,32.97,1.3
Sunderland,38,22.3,5.78,9.91,72.7,62.78,38.83,23.96,506.39,281.7,250.3,485.74,52.04,1.65,2006/07,83.60,1.15
Birmingham,38,21.48,6.61,9.91,71.04,55.35,34.7,20.65,403.96,201.57,193.3,536.13,57.83,6.61,2006/07,82.50,1.15
Derby,38,20.65,7.43,9.91,69.39,51.22,38.0,13.22,447.74,228.83,197.43,580.74,75.17,1.65,2006/07,50.40,1.3
West Brom,38,19.0,9.91,9.09,66.91,72.7,45.43,27.26,552.65,318.04,262.7,393.22,43.78,2.48,2007/08,66.10,1.3
Stoke,38,17.35,13.22,7.43,65.26,57.0,45.43,11.57,361.83,187.52,238.74,489.04,66.09,1.65,2007/08,63.45,1.5
Hull,38,17.35,9.91,10.74,61.96,53.7,38.83,14.87,464.26,236.26,208.17,498.96,59.48,3.3,2007/08,64.70,1.5
Wolves,38,24.8,7.4,5.8,81.8,67.7,32.2,35.5,500.6,179.3,185.0,472.5,57.0,3.3,2008/09,302.90,0.85
Birmingham,38,19.8,9.9,5.8,69.4,45.0,31.0,14.0,396.0,188.0,194.0,479.0,55.0,5.0,2008/09,82.50,1.0
Burnley,38,17.4,11.6,8.3,63.9,59.5,50.0,9.5,475.0,242.0,232.0,482.0,56.0,5.0,2008/09,52.55,1.3
Blackpool,38,23.5,16.0,17.4,86.7,91.7,71.8,19.8,802.9,408.9,324.6,565.0,70.7,3.8,2009/10,50.03,1.5
Newcastle,38,17.4,6.9,2.3,59.0,52.0,20.2,31.8,315.7,179.3,147.5,277.0,38.1,1.8,2009/10,119.48,0.7
West Brom,38,21.5,10.7,5.8,75.2,73.5,39.7,33.9,532.0,292.4,244.5,445.3,74.3,2.5,2009/10,86.88,1.0
Norwich,38,24.7,16.1,8.6,90.2,89.2,62.3,26.9,659.4,350.1,298.6,531.6,76.3,3.2,2010/11,58.75,1.3
QPR,38,22.8,15.2,5.8,83.6,67.5,30.4,37.0,532.9,260.2,251.7,456.9,58.9,5.8,2010/11,81.38,1.15
Swansea,38,25.7,8.6,15.1,85.9,74.1,45.1,29.0,619.7,336.2,287.8,456.4,60.2,2.2,2010/11,75.60,1.3
Reading,38,25.6,7.6,10.5,84.5,65.5,39.0,26.6,420.9,226.1,300.1,449.3,55.1,0.9,2011/12,46.25,1.15
