tim,sezona,ispao
Norwich,2004/05,1
Southampton,2004/05,1
Crystal Palace,2004/05,1
West Brom,2004/05,0
Charlton,2004/05,0
Portsmouth,2004/05,0
Fulham,2004/05,0
Newcastle,2004/05,0
Birmingham,2004/05,0
Blackburn,2004/05,0
Man City,2004/05,0
Middlesbrough,2004/05,0
Bolton,2004/05,0
Tottenham,2004/05,0
Aston Villa,2004/05,0
Liverpool,2004/05,0
Everton,2004/05,0
Man United,2004/05,0
Arsenal,2004/05,0
Chelsea,2004/05,0
Sunderland,2005/06,1
West Brom,2005/06,1
Birmingham,2005/06,1
Portsmouth,2005/06,0
Man City,2005/06,0
Aston Villa,2005/06,0
Middlesbrough,2005/06,0
Charlton,2005/06,0
Fulham,2005/06,0
Everton,2005/06,0
Wigan,2005/06,0
West Ham,2005/06,0
Bolton,2005/06,0
Newcastle,2005/06,0
Blackburn,2005/06,0
Tottenham,2005/06,0
Arsenal,2005/06,0
Liverpool,2005/06,0
Man United,2005/06,0
Chelsea,2005/06,0
Watford,2006/07,1
Sheffield United,2006/07,1
Charlton,2006/07,1
Wigan,2006/07,0
Fulham,2006/07,0
West Ham,2006/07,0
Man City,2006/07,0
Newcastle,2006/07,0
Middlesbrough,2006/07,0
Aston Villa,2006/07,0
Blackburn,2006/07,0
Portsmouth,2006/07,0
Reading,2006/07,0
Bolton,2006/07,0
Everton,2006/07,0
Tottenham,2006/07,0
Liverpool,2006/07,0
Arsenal,2006/07,0
Chelsea,2006/07,0
Man United,2006/07,0
Derby,2007/08,1
Birmingham,2007/08,1
Reading,2007/08,1
Fulham,2007/08,0
Bolton,2007/08,0
Sunderland,2007/08,0
Wigan,2007/08,0
Middlesbrough,2007/08,0
Newcastle,2007/08,0
Tottenham,2007/08,0
West Ham,2007/08,0
Man City,2007/08,0
Portsmouth,2007/08,0
Blackburn,2007/08,0
Aston Villa,2007/08,0
Everton,2007/08,0
Liverpool,2007/08,0
Arsenal,2007/08,0
Chelsea,2007/08,0
Man United,2007/08,0
West Brom,2008/09,1
Newcastle,2008/09,1
Middlesbrough,2008/09,1
Hull,2008/09,0
Sunderland,2008/09,0
Portsmouth,2008/09,0
Bolton,2008/09,0
Blackburn,2008/09,0
Wigan,2008/09,0
Stoke,2008/09,0
Man City,2008/09,0
West Ham,2008/09,0
Tottenham,2008/09,0
Fulham,2008/09,0
Aston Villa,2008/09,0
Everton,2008/09,0
Arsenal,2008/09,0
Chelsea,2008/09,0
Liverpool,2008/09,0
Man United,2008/09,0
Arsenal,2009/10,0
Aston Villa,2009/10,0
Birmingham,2009/10,0
Blackburn,2009/10,0
Bolton,2009/10,0
Burnley,2009/10,1
Chelsea,2009/10,0
Everton,2009/10,0
Fulham,2009/10,0
Hull,2009/10,1
Liverpool,2009/10,0
Man City,2009/10,0
Man United,2009/10,0
Portsmouth,2009/10,1
Stoke,2009/10,0
Sunderland,2009/10,0
Tottenham,2009/10,0
West Ham,2009/10,0
Wigan,2009/10,0
Wolves,2009/10,0
Arsenal,2010/11,0
Aston Villa,2010/11,0
Birmingham,2010/11,1
Blackburn,2010/11,0
Blackpool,2010/11,1
Bolton,2010/11,0
Chelsea,2010/11,0
Everton,2010/11,0
Fulham,2010/11,0
Liverpool,2010/11,0
Man City,2010/11,0
Man United,2010/11,0
Newcastle,2010/11,0
Stoke,2010/11,0
Sunderland,2010/11,0
Tottenham,2010/11,0
West Brom,2010/11,0
West Ham,2010/11,1
Wigan,2010/11,0
Wolves,2010/11,0
Arsenal,2011/12,0
Aston Villa,2011/12,0
Blackburn,2011/12,1
Bolton,2011/12,1
Chelsea,2011/12,0
Everton,2011/12,0
Fulham,2011/12,0
Liverpool,2011/12,0
Man City,2011/12,0
Man United,2011/12,0
Newcastle,2011/12,0
Norwich,2011/12,0
QPR,2011/12,0
Stoke,2011/12,0
Sunderland,2011/12,0
